ma_nv,nhom,thamnien,luong,diem_thang_tien,nhom_thamnien,tien_nang_cao,thu_nhap_cao
3010,B,7.900000,1812.000000,3.560000,trung,không,không
3011,B,6.600000,1618.000000,3.470000,trung,không,không
3012,B,3.700000,1275.000000,6.990000,thấp,không,không
3013,B,2.200000,1056.000000,3.770000,thấp,không,không
3014,B,5.400000,1483.000000,4.920000,trung,không,không
3015,B,14.200000,2678.000000,8.780000,cao,có,có
3016,B,5.200000,1436.000000,9.900000,trung,có,không
3017,B,8.000000,1875.000000,0.800000,trung,không,không
3018,B,10.700000,2219.000000,3.710000,cao,không,không
3019,B,5.800000,1489.000000,3.850000,trung,không,không
3020,B,14.600000,2617.000000,2.790000,cao,không,có
3021,B,14.500000,2608.000000,3.680000,cao,không,có
3022,B,4.200000,1258.000000,4.450000,thấp,không,không
3023,B,7.700000,1723.000000,3.740000,trung,không,không
3024,B,4.900000,1436.000000,3.120000,trung,không,không
3025,B,4.600000,1317.000000,3.340000,thấp,không,không
3026,B,1.000000,881.000000,5.730000,thấp,không,không
3027,B,9.300000,2029.000000,3.940000,trung,không,không
3028,B,7.800000,1727.000000,5.050000,trung,không,không
3029,B,1.200000,972.000000,6.020000,thấp,không,không
3030,B,4.500000,1332.000000,7.330000,thấp,không,không
3031,B,13.700000,2506.000000,2.780000,cao,không,có
3032,B,4.000000,1321.000000,8.100000,thấp,có,không
3033,B,2.600000,1130.000000,6.900000,thấp,không,không
3034,B,7.600000,1812.000000,3.070000,trung,không,không
3035,B,14.800000,2730.000000,8.620000,cao,có,có
3036,B,4.000000,1334.000000,8.950000,thấp,có,không
3037,B,10.200000,2073.000000,2.930000,cao,không,không
3038,B,11.500000,2228.000000,4.440000,cao,không,có
3039,B,3.900000,1315.000000,8.140000,thấp,có,không
3040,B,11.100000,2258.000000,7.740000,cao,không,có
3041,B,5.800000,1593.000000,3.790000,trung,không,không
3042,B,9.700000,2025.000000,3.970000,trung,không,không
3043,B,9.700000,2019.000000,5.090000,trung,không,không
3044,B,8.300000,1890.000000,5.890000,trung,không,không
3045,B,1.800000,988.000000,6.830000,thấp,không,không
3046,B,12.600000,2469.000000,5.080000,cao,không,có
3047,B,5.200000,1498.000000,5.740000,trung,không,không
3048,B,3.200000,1182.000000,7.730000,thấp,không,không
3049,B,1.100000,951.000000,2.760000,thấp,không,không
3050,B,9.100000,1991.000000,4.270000,trung,không,không
3051,B,10.300000,6186.000000,7.490000,cao,không,có
3052,B,0.700000,918.000000,8.770000,thấp,có,không
3053,B,7.900000,1803.000000,6.080000,trung,không,không
3054,B,3.800000,1311.000000,6.220000,thấp,không,không
3055,B,9.900000,2039.000000,3.250000,cao,không,không
3056,B,3.000000,1216.000000,5.630000,thấp,không,không
3057,B,10.500000,2126.000000,6.230000,cao,không,không
3058,B,6.100000,1504.000000,4.200000,trung,không,không
3059,B,14.100000,2661.000000,4.380000,cao,không,có
3060,B,2.500000,1047.000000,5.140000,thấp,không,không
3061,B,5.400000,1454.000000,2.640000,trung,không,không
3062,B,2.100000,1107.000000,4.750000,thấp,không,không
3063,B,13.900000,2641.000000,3.980000,cao,không,có
3064,B,13.200000,2501.000000,4.790000,cao,không,có
3065,B,4.200000,1338.000000,3.340000,thấp,không,không
3066,B,10.100000,2081.000000,8.730000,cao,có,không
3067,B,12.300000,2347.000000,6.660000,cao,không,có
3068,B,8.600000,1871.000000,7.250000,trung,không,không
3069,B,8.200000,1863.000000,8.020000,trung,có,không
3070,B,4.000000,1328.000000,5.990000,thấp,không,không
3071,B,1.800000,419.000000,3.110000,thấp,không,không
3072,B,13.500000,2568.000000,6.260000,cao,không,có
3073,B,13.600000,2490.000000,6.610000,cao,không,có
3074,B,9.700000,2035.000000,7.720000,trung,không,không
3075,B,5.400000,1419.000000,5.520000,trung,không,không
3076,B,5.600000,1509.000000,3.390000,trung,không,không
3077,B,11.000000,2197.000000,4.490000,cao,không,không
3078,B,13.500000,2580.000000,5.040000,cao,không,có
3079,B,13.400000,2498.000000,7.020000,cao,không,có
3080,B,11.800000,2259.000000,6.500000,cao,không,có
3081,B,9.800000,2003.000000,4.990000,trung,không,không
3082,B,1.700000,1030.000000,9.410000,thấp,có,không
3083,B,2.800000,1154.000000,6.740000,thấp,không,không
3084,B,13.500000,2478.000000,4.160000,cao,không,có
3085,B,9.300000,1930.000000,3.210000,trung,không,không
3086,B,0.600000,879.000000,3.570000,thấp,không,không
3087,B,2.000000,979.000000,4.220000,thấp,không,không
3088,B,10.100000,2130.000000,3.620000,cao,không,không
3089,B,0.600000,880.000000,3.810000,thấp,không,không
3090,B,2.800000,1085.000000,4.500000,thấp,không,không
3091,B,8.500000,1826.000000,3.710000,trung,không,không
3092,B,10.500000,2203.000000,8.780000,cao,có,không
3093,B,10.000000,2059.000000,3.060000,cao,không,không
3094,B,3.800000,1252.000000,6.170000,thấp,không,không
3095,B,10.800000,2220.000000,5.370000,cao,không,không
3096,B,3.900000,1340.000000,9.380000,thấp,có,không
3097,B,5.200000,1514.000000,3.280000,trung,không,không
3098,B,11.300000,2277.000000,5.280000,cao,không,có
3099,B,9.900000,2046.000000,9.290000,cao,có,không
3100,B,12.800000,2385.000000,8.560000,cao,có,có
3101,B,10.000000,2111.000000,8.220000,cao,có,không
3102,B,8.700000,1914.000000,4.310000,trung,không,không
3103,B,1.900000,1012.000000,3.700000,thấp,không,không
3104,B,5.800000,1582.000000,7.180000,trung,không,không
3105,B,4.300000,1283.000000,9.010000,thấp,có,không
3106,B,4.000000,1294.000000,6.400000,thấp,không,không
3107,B,14.600000,2609.000000,6.500000,cao,không,có
3108,B,6.200000,1577.000000,4.460000,trung,không,không
3109,B,13.400000,2459.000000,7.890000,cao,có,có
3110,B,9.700000,1986.000000,3.810000,trung,không,không
